Kyle Barracloug,26,MIA,NL,72,1,1,0,0,0,0,0,0,0
Jake Barret,24,ARI,NL,65,0,0,0,0,0,0,0,0,0
Antonio Bastard,30,TOT,NL,68,0,0,0,0,0,0,0,0,0
Antonio Bastard,30,NYM,NL,40,0,0,0,0,0,0,0,0,0
Antonio Bastard,30,PIT,NL,28,0,0,0,0,0,0,0,0,0
Trevor Baue,25,CLE,AL,3,6,5,0,0,0,0,0,0,0
Buddy Baumann,28,SDP,NL,11,0,0,0,0,0,0,0,0,0
Jose Bautist,35,TOR,AL,116,517,423,68,99,24,1,22,69,2
Chris Bec,25,CHW,AL,2,0,0,0,0,0,0,0,0,0
Gordon Beckha,29,TOT,NL,88,279,245,25,52,16,1,5,31,1
Gordon Beckha,29,ATL,NL,85,273,240,25,52,16,1,5,30,1
Gordon Beckha,29,SFG,NL,3,6,5,0,0,0,0,0,1,0
Tim Beckha,26,TBR,AL,64,215,198,25,49,12,5,5,16,2
Cam Bedrosia,24,LAA,AL,5,0,0,0,0,0,0,0,0,0
Matt Belisl,36,WSN,NL,38,4,4,0,0,0,0,0,0,0
Josh Bell,23,PIT,NL,45,152,128,18,35,8,0,3,19,0
Brandon Belt,28,SFG,NL,156,655,542,77,149,41,8,17,82,0
Carlos Beltran,39,TOT,AL,151,593,552,73,163,33,0,29,93,1
Carlos Beltran,39,NYY,AL,99,387,359,50,109,21,0,22,64,0
Carlos Beltran,39,TEX,AL,52,206,193,23,54,12,0,7,29,1
Adrian Beltr,37,TEX,AL,153,640,583,89,175,31,1,32,104,1
Andrew Benintendi,21,BOS,AL,34,118,105,16,31,11,1,2,14,1
Joaquin Benoi,38,TOT,AL,3,0,0,0,0,0,0,0,0,0
Joaquin Benoi,38,SEA,AL,2,0,0,0,0,0,0,0,0,0
Joaquin Benoi,38,TOR,AL,1,0,0,0,0,0,0,0,0,0
James Beresford,27,MIN,AL,10,24,22,0,5,1,0,0,0,0
Christian Bergma,28,COL,NL,15,3,3,1,1,0,0,0,0,0
Jose Berrio,22,MIN,AL,1,1,1,0,1,0,0,0,0,0
Dellin Betance,28,NYY,AL,7,0,0,0,0,0,0,0,0,0
Christian Bethancour,24,SDP,NL,73,204,193,20,44,9,0,6,25,1
Chad Betti,27,COL,NL,28,58,49,2,2,0,0,0,2,0
Mookie Bett,23,BOS,AL,158,730,672,122,214,42,5,31,113,26
Joe Biagin,26,TOR,AL,5,0,0,0,0,0,0,0,0,0
Ty Blac,25,SFG,NL,4,4,4,1,2,0,0,0,0,0
Charlie Blackmon,29,COL,NL,143,641,578,111,187,35,5,29,82,17
Aaron Blai,24,ATL,NL,15,23,21,0,1,0,0,0,0,0
Andres Blanco,32,PHI,NL,90,209,190,26,48,15,1,4,21,2
Gregor Blanco,32,SFG,NL,106,274,241,28,54,10,4,1,18,6
Joe Blanto,35,LAD,NL,71,0,0,0,0,0,0,0,0,0
Jabari Blas,26,SDP,NL,38,84,71,7,12,2,0,3,5,1
